"game_id","name","max_players","playtime","min_age","min_players","age_of_game","users_rated","rating","CardGame","Wargame","Fantasy","Fighting","Economic","Science.Fiction","Dice","Party.Game","AbstractStrategy","Childrens.Game","WorldWarII","Bluffing","Humor","Animals","Adventure","Medieval","Action.Dexterity","Deduction","Movies.TV.Radiotheme","Miniatures"
97,"Conquest of the Empire",6,180,10,2,38,906,6.26548,"No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
98,"Axis & Allies",5,180,12,2,41,8747,6.53855,"No","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
99,"Fortress America",4,180,12,2,36,2144,6.6939,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
101,"Detroit-Cleveland Grand Prix",6,60,8,2,26,1023,6.7734,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
102,"Klunker",5,30,10,3,23,800,6.20877,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
103,"Titan",6,240,12,2,42,3570,6.96153,"No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
104,"Extrablatt",4,90,14,3,31,246,7.04646,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
105,"Colossal Arena",5,60,8,2,25,6292,6.79949,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
106,"Mystery Rummy: Jack the Ripper",4,45,10,2,24,2895,6.97858,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
108,"TAMSK",2,20,8,2,24,1234,6.78007,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
109,"Wettstreit der Baumeister",4,45,10,3,28,359,6.11431,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
110,"Auf Achse",6,60,8,2,35,1293,6.26805,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
111,"Rheinländer",5,90,12,3,23,1396,6.61642,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No"
112,"Condottiere",6,45,14,2,27,6301,6.73922,"Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No"
113,"Mit List und Tücke",6,60,10,4,23,204,6.61422,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
